timestamp,user_id,action
2024-08-11 02:27:04.675320,32,purchase
2024-09-07 19:08:04.675320,61,logout
2024-08-23 22:58:04.675320,29,login
2024-08-30 07:38:04.675320,58,purchase
2024-08-31 11:58:04.675320,84,view
2024-09-07 08:48:04.675320,97,purchase
2024-08-23 14:52:04.675320,44,view
2024-08-19 13:50:04.675320,69,view
2024-08-19 22:05:04.675320,82,view
2024-09-05 15:27:04.675320,94,logout
2024-08-19 09:05:04.675320,27,login
2024-08-21 01:44:04.675320,90,login
2024-08-31 14:05:04.675320,83,login
2024-08-22 09:18:04.675320,52,login
2024-09-08 03:10:04.675320,85,purchase
2024-08-25 23:27:04.675320,48,purchase
2024-09-02 23:20:04.675320,58,purchase
2024-08-20 22:56:04.675320,42,login
2024-08-28 06:44:04.675320,72,login
2024-09-05 06:39:04.675320,99,login
2024-08-14 00:16:04.675320,29,login
2024-09-05 03:39:04.675320,33,view
2024-08-10 16:58:04.675320,13,logout
2024-08-12 17:27:04.675320,89,logout
2024-09-04 07:54:04.675320,72,purchase
2024-08-14 16:12:04.675320,74,view
2024-08-22 00:05:04.675320,61,logout
2024-08-10 12:06:04.675320,40,purchase
2024-08-14 11:34:04.675320,46,logout
2024-08-10 22:31:04.675320,34,login
2024-08-26 08:10:04.675320,95,purchase
2024-09-08 01:03:04.675320,100,logout
2024-08-31 08:56:04.675320,61,login
2024-09-01 11:38:04.675320,35,view
2024-08-09 18:12:04.675320,67,login
2024-08-11 10:34:04.675320,30,view
2024-08-19 19:01:04.675320,40,view
2024-08-26 13:34:04.675320,64,logout
2024-08-20 12:56:04.675320,23,purchase
2024-08-22 11:44:04.675320,100,logout
2024-09-07 00:39:04.675320,54,view
2024-08-22 04:11:04.675320,65,view
2024-08-30 21:25:04.675320,27,purchase
2024-08-17 08:18:04.675320,69,purchase
2024-08-21 10:06:04.675320,44,login
2024-09-08 03:51:04.675320,48,login
2024-08-27 18:47:04.675320,10,purchase
2024-08-25 14:20:04.675320,71,purchase
